title,text
Open question? 尚无定论,Open question就是未解决的问题，尚无定论。
中老携手奔向互利共赢的康庄大道——记习近平2017年老挝之旅,2017年，中国国家主席习近平对老挝进行了国事访问。五年来，中老两国取得了丰硕的合作成果，作为习近平的老同学，萨马诺·奔舍那为此感到由衷高兴。
世界卫生组织针对猴痘发布最高级别公共卫生警报,世界卫生组织7月23日宣布，在多个国家和地区发生的猴痘疫情已构成“国际关注的突发公共卫生事件”。
一课译词：精益求精,“精益求精”，汉语成语，比喻已经很好了，还要求更好。可以翻译为“ constantly perfect one's skill，refine on/upon”等。
每日一词∣中国国家版本馆 National Archives of Publications and Culture,7月23日，中国国家版本馆落成。中国国家版本馆是国家版本资源总库，由中央总馆和三个地方分馆——西安分馆、杭州分馆、广州分馆——组成，历时三年建设目前均已竣工，开馆后将全面履行国家版本资源保藏传承职责。
新闻播报（August 8）,今日播报内容：通胀催高纽约犯罪率 肉罐头被装入防盗盒震惊市民；河北发现4300多个恐龙足迹。
新闻播报（July 15）,今日播报内容：2022年前5个月数字人民币累计交易金额达830亿；美国通胀同比增长9.1% 刷新40年新高。
一课译词：勇往直前,“勇往直前”，意思是勇敢地一直向前进。可以翻译为“march forward courageously”等。
新闻播报（August 4）,今日播报内容：国台办：有关部门决定暂停台湾地区柑橘类水果和冰鲜白带鱼、冻竹荚鱼输入；日本一核电站内部泄漏约7吨含放射性物质水。
Rock bottom? 跌至谷底,Hit rock bottom意思是陷入低潮， 跌至谷底。
新闻播报（July 25）,今日播报内容：国际铁路联盟发布中国制定的高铁标准；我国科学家破译裸燕麦基因密码。
世界经济论坛总裁：对中国中长期增长非常乐观,世界经济论坛总裁布伦德21日表示，他对中国经济中长期前景持乐观态度。布伦德称，“我们认为，中国政府采取的措施将促使经济复苏”。
研究发现：女性多吃香蕉、三文鱼，有助降低高盐饮食负面影响,据英国《卫报》报道，一项研究发现，摄入香蕉、牛油果和三文鱼等含钾食物有助于降低女性高盐饮食的负面影响。
郎朗新头像太生动！所以“头像”用英语到底怎么说？,网友把周杰伦和郎朗斗琴桥段截图拼了起来，随后，网友@躺倒鸭绘制了一对头像。其中郎朗的头像只能说一模一样！
中国人均每周上网28.5个小时，你是多长时间？,2021年，中国的网民规模达10.32亿，互联网普及率达73％，网民人均每周上网时长达到28.5个小时，而网民使用手机上网的比例达99.7%。
一欧元低于一美元，谁能治治美国金融霸权 | 小象漫评,国际汇率市场风云突变，欧元跌价到低于美元，美国执意延长乌克兰战火，恶果已经显现。
一课译词：一言不发,“一言不发”，意思是一句话不说，指默不做声。可以翻译为“keep one’s mouth shut，not say a word或hold one’s tongue”等。
增速连续回升 我国外贸持续向好显韧性,今年前7个月，我国进出口总值23.6万亿元人民币，比去年同期增长10.4%。其中，7月份进出口总值3.81万亿元，同比增速进一步提升为16.6%。
每日一词∣海洋生产总值gross ocean product,自然资源部近日发布统计数据显示，上半年全国海洋生产总值4.2万亿元，同比增长1.2%，海洋经济企稳回升态势明显。
为帮猫狗消暑，日本推出宠物可穿戴电风扇,首都东京一家制衣企业瞄准商机，推出专供猫狗使用的可穿戴电扇，为宠物消暑降温。
老外震惊：中国人的社交头像怎么不用自己照片？,一位爱尔兰博主发现，中国人貌似更喜欢用除了真人头像以外的其他图片，例如风景、猫猫、动漫人物等等。
中国人吃了全球最多的瓜！为什么外国人很少吃西瓜？,据统计，中国人每年吃掉的西瓜高达160亿个，平均每人每年要吃掉100斤。
一课译词：一举一动,“一举一动”，泛指人的言行，举止动作。可以翻译为“every act and every move，every particular gesture and behavior”等。
每日一词∣打击野生动植物非法贸易 combat illegal wildlife trade,据国家林业和草原局消息，今年2月15日至5月15日，国家林草局等11个部门联合开展行动，查办野生动植物案件近1.2万起，收缴野生动植物13万余只（头、尾、株），严厉打击了野生动植物非法贸易。
一课译词：自知之明,“自知之明”，能正确认识自己、了解自己的长处和短处。可以翻译为“wisdom of knowing oneself，self-knowledge”等。
每日一词∣世界互联网大会 World Internet Conference,7月12日，国家主席习近平向世界互联网大会国际组织成立致贺信。习近平指出，希望世界互联网大会为全球互联网发展治理贡献智慧和力量。
